130,130,075,+21.79,1013.95
109,109,075,+21.79,1013.98
069,069,074,+21.79,1013.98
029,029,074,+21.78,1013.92
000,000,074,+21.78,1013.92
000,000,074,+21.78,1013.96
000,000,074,+21.78,1013.96
178,178,074,+21.79,1013.91
178,178,098,+21.79,1013.91
178,178,123,+21.79,1013.91
178,178,146,+21.78,1013.95
178,178,160,+21.78,1013.95
178,178,175,+21.79,1013.89
178,178,191,+21.79,1013.89
178,178,201,+21.78,1013.86
178,178,210,+21.78,1013.86
178,178,219,+21.79,1013.90
178,178,227,+21.79,1013.90
178,178,234,+21.78,1013.90
178,178,241,+21.79,1013.90
178,178,246,+21.79,1013.90
178,178,253,+21.78,1013.92
178,178,259,+21.78,1013.92
178,178,265,+21.78,1013.92
178,178,270,+21.78,1013.92
178,178,276,+21.78,1013.92
178,178,282,+21.78,1013.92
178,178,287,+21.77,1013.85
178,178,293,+21.77,1013.85
178,178,298,+21.76,1013.84
178,178,302,+21.76,1013.84
178,178,306,+21.76,1013.94
177,177,309,+21.76,1013.94
177,177,313,+21.78,1013.89
177,177,316,+21.78,1013.89
177,177,318,+21.78,1013.89
177,177,319,+21.78,1013.89
177,177,321,+21.78,1013.96
177,177,324,+21.78,1013.96
177,177,326,+21.78,1013.96
