178,178,238,+23.94,1010.94
178,178,242,+23.94,1010.94
178,178,243,+23.94,1011.02
178,178,247,+23.94,1011.02
178,178,249,+23.94,1011.06
177,177,251,+23.94,1011.06
177,177,252,+23.94,1010.99
177,177,254,+23.94,1010.99
177,177,255,+23.94,1011.01
176,176,257,+23.94,1011.01
176,176,259,+23.94,1010.99
176,176,259,+23.94,1010.99
175,175,261,+23.93,1011.02
175,175,262,+23.93,1011.02
174,174,262,+23.94,1010.99
174,174,261,+23.94,1010.99
174,174,261,+23.94,1010.96
173,173,259,+23.94,1010.96
173,173,258,+23.94,1010.99
173,173,258,+23.94,1010.99
173,173,257,+23.94,1011.03
172,172,254,+23.94,1011.03
171,171,249,+23.93,1011.02
172,172,244,+23.93,1011.02
172,172,241,+23.94,1010.99
173,173,240,+23.94,1010.99
173,173,239,+23.94,1010.96
173,173,239,+23.94,1010.96
171,171,238,+23.94,1011.02
169,169,234,+23.94,1011.02
167,167,226,+23.94,1010.95
166,166,215,+23.94,1010.95
164,164,199,+23.93,1011.02
162,162,183,+23.93,1011.02
160,160,166,+23.92,1011.01
158,158,152,+23.92,1011.01
156,156,136,+23.94,1011.01
154,154,124,+23.94,1011.01
152,152,114,+23.94,1011.03
150,150,099,+23.94,1011.03
